,sentiment,text
868,negative,Seeing double am so tired but I always grudge getting off my phone at night 🙄
869,negative,When you have 15 doe run the opposite side of you 🙁 #depression
870,negative,"@DiannaAgron You probably also think building a wall on the Mexican border is a ridiculous idea, like most normal human beings do ! 😐"
871,positive,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️
872,positive,@Matalan when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice ❤ 📞👍😊
873,positive,RT @BonsaiSky: I would pay money to see a debate between Hillary Clinton and Donald Trump. You know Donald will bring up Monica 😂 #GOPDebate
874,negative,@JetBlue send more service agents so all the stranded passengers can be helped!!!🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘
875,negative,“@JetBlue: Our fleet's on fleek. http://t.co/tLGoihqkvS” 😐 make it stop.
876,neutral,"20. if your body count was your social security number, what would it be? 👀"
877,positive,@united maybe on my return trip 👍
878,negative,not to be That Person™ but i get bitter seeing some ravi stans
879,positive,@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️
880,positive,Oh my god that Thanksgiving #ThisIsUs episode had me in tears 😭😭😭
881,positive,@sportsdes that's amazing😎. I am a tipp supporter living i Sixmilebridge for 35 yr😎s. Then again there is no convention centre in smb😎
882,negative,Retweeted Agenda Of Evil 🐸 (@AgendaOfEvil):#Obama DOJ Fines Police Department $10K for Refusing to Hire... https://t.co/FHq1ftXsJ3
883,positive,Loving  #Pitch so far !! 🤗🤗🤗 @PITCHonFOX @Global_TV  #chills #smiling
884,positive,Wow! 👄My fav season films are  here!! #TheWalkingDead #TeenWolf #Lucifer #TheVampireDiaries #LegendsofTomorrow
885,negative,@united worst service ever 😈
886,neutral,#RT if you think the outcome of the #GOPdebate was set long before last night...😁
887,positive,I'm fiending to satisfy my @jk_rowling / potter  fix by seeing Fantastic Beasts and Where to Find Them this weekend 💯! #FantasticBeasts
888,neutral,@KamVTV @greeneyes0084 perhaps the train should make a stop at Romney station so he can play a key role in Trump's cabinet? 🚉 #foreverromney
889,positive,"#Microsoft joins the @linuxfoundation. Microsoft ♥#Linux...like a pet, or entree, I  say. #microsoftlinuxfoss… https://t.co/o7ej17cgXx"
890,positive,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning 😂😂😂 @grimmers @fionaradio @TinaDaheley
891,neutral,@united S/O to @Delta for coming in clutch and finally taking me home 🙌🙌
892,negative,I came to work for no reason 😩🔫\nI could've stayed in bed
893,neutral,Well that finale was one big mindfuck 😳 #Westworld
894,negative,The phoenix cried fat tears of pearlWhen the dragon snapped up his best girl 🎶 @emmimusic #FantasticBeasts #FBNewthttps://t.co/4g5lyjV9S3
895,negative,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting
896,negative,@USAirways @nburnside26 Well if you really didn't like them then she would be on an airplane. #FIOUSAirways 💁
897,negative,@EUAtt 🇺🇦#Ukraine#yanukovich's REGIME: illicit $ outflows.➤2012: Min. of #Economy- #poroshenko!@StateDept @EU_Commission#US #EU #РАДА8
898,neutral,Perbandingan antara Messi dan Michael Jordan. #fcblive [Sport]Just enjoy this Data.😀😀 https://t.co/TZZqQ9kwHQ
899,positive,#GilmoreGirlsTop4  1.Sukie2.Luke3.Kurk4.Jess I can't wait for the new series to start! 😍✨🎉
900,negative,Drank way too much 🍷 watching the #GOPDebate hangover #GDFR
901,negative,"@united I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude!😢 still no bag!"
902,positive,"@USAirways YOU ARE THE BEST AIRWAYS!!!!!!!!!! FOLLOW ME BACK, PLEASE 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😢😢😢😢😢😢😢😢🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
903,neutral,"💢Somehow our friends at FOX  missed the #GOPDebate 

@SenTedCruz took on:
Obama  
Hillary
Washington
Islamic Jihad
OHealthCare

@Varneyco"
904,positive,@SBakerMD Everyone knows that vegetarianism is synonymous with wellness! 🙄
905,positive,🎉 It is time for a most joyous celebration! 🎉
906,positive,"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu"
907,neutral,@Destinmurphy #JonVoyage yeah whatevs. Did you see that #GOPDebate tho? 😩
908,negative,@USAirways I've been on hold for over 2 1/2 hours - there has to be an easier way to Cancelled Flight/get a refund... 😑😩 http://t.co/Cm4roIypc2
909,positive,#MPN #OneDirection#MtvStarsNiallHoran JESUS😍😍😍😍😍 https://t.co/QPAf036Fnq
910,negative,Who needs comedy shows when you have the #GOPDebate?! Meanwhile #macdebate was kinda a snore 😴 Sorry Canada!  https://t.co/QIQvue3FSr
911,negative,Wait! Wuuuuuuuut? This was actually a question? I can't 🙈 #GOPDebates
912,positive,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@steph93065 @MaydnUSA http://t.co/Pk45i5Zvk0"
913,negative,@POTUS @BarackObama @FoxNews Traitor closet 👳🏿🖕🏻🐍Obama Sends Sickening Surprise to Town That Rejected Mosque https://t.co/QV5rU7MOWS… #tcot
914,neutral,@united I have $20 and I'll draw you a super sweet picture of your choosing. Will that get me round-trip to San Diego? 🌴🌴 It's so cold here.
915,negative,Kim fatty the third 😂😂😂 @ CSIS | Center for Strategic & International Studies https://t.co/qPJpkevwvT
916,negative,@armyjobs Put your life at risk for minimum wage! Once you've been injured and of no use you are abandoned or left homeless! Why not join 😂
917,positive,Gloomy weather getting you down ☔️😞? Go to @kettlesyard for their last day before 2 yr refurb; instant feel good fun http://t.co/xSQ9K5NjBr
918,neutral,@SouthwestAir if only you could control the weather in Las Vegas 😉
919,neutral,@TahjDeathstyle Donald Trump is great for so many reasons. He will label #blacklivesmatter as a hate group that they are. Bye bye Obama. 😂👋
920,negative,I just watched the video that i took at troye's concert last year during happy little pill and now im crying i miss him @troyesivan 😭
921,positive,GOD I LOVE ONE DIRECTION SO MUCH❤️ JUST WATCHED #TB1D #WHEREWEARETOUR AND LITERALLY I'M CRYING OUT LOUD! PURE TALANT #onedirection #love
922,negative,Great...So I got up at 5am only to discover that my Amazon Prime Day deal was $30 more than the regular price. 😡
923,positive,"😻@jenniferbeals YAY,#LoveTrumpsAll!💗This warms my soul when I needed it the most...now am I just CRAZY to hope Electoral College pulls thru?"
924,negative,@SouthwestAir what's up with these delays?! Throw some priority boarding my way &amp; I'll forgive you!! 👍 #southwest #southwestairlines
925,negative,@united never fails to have delayed flights 😡
926,negative,@USAirways flight 1898 landed over 2 hours ago and they still haven't gotten to the gate.. What's the hold uppp 😭😭 #imtired #wannagohome
927,negative,I hate having ideas but being too afraid to share them 😔
928,positive,And thus begins my 2 week holiday! 😏😏\n#holiday #cheering #ghastinoir #rest
929,negative,"I just LOVE how SOME men feel like they can CONTINUE to dictate a woman's steps 😡😡😡 #GOPDebates I'm about to catch on fire, I'm so mad!!"
930,negative,"RT @BreeNewsome: Donald Trump is the Nene Leaks of the Republican Party. READ, HONEY, READ. 😂 #GOPDebate"
931,negative,You know. Huckabee- I can see it. It's like this country is overflowing with pimps... 😒#GOPDebates
932,neutral,#GilmoreGirlsTop4 4.Babette 3.Lane 2.Michel 1.When Sookie and Luke are together ..😣😣  #GilmoreGirlsRevival
933,positive,I really fancy @TheRealLukevans 😍 can't wait for #BeautyAndTheBeast ❤️
934,positive,Interesting debate last night 😉 #GOPDebate
935,negative,ICQ is just making me mad!!!😤 #icq #angry
936,negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
937,negative,@JetBlue should I bother contacting them? I already checked into my flight 😕
938,positive,"Snoop Dogg Brings Turkeys, Thanksgiving Joy to Inglewood | NBC Southern California https://t.co/RgcilHUDjs via @nbcla ✨ 💕"
939,positive,"Tomorrow, is the FIRST DAY OF 🍂🍂FALL🍁🍁and I'm elated!!!!!"
940,negative,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!
941,negative,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming
942,neutral,"🏀  Time out / Temps mort. Min 33: @GSBasketbol, 66 - @FCBbasket, 59 #fcblive #GSOFCB"
943,positive,"@SouthwestAir you only hear about the bad things. Flying the last to weekends, the flights and crews were awesome. Thank you. 👍👍"
944,negative,Noooooooooo! Run for your lives!🏃🏃🏃🏃🏃🏃🏃🏃🏃🏃🏃🏃#resist #protest #trump #AuditTheVote https://t.co/9uNS2lPaPg
945,neutral,Match my grind 😏
946,positive,All I wanted for Thanksgiving 😍 https://t.co/dfTfBsNgkG
947,positive,That's beautiful ❤ #BeautyAndTheBeast https://t.co/0WlOCDNtzu
948,neutral,"The #UnitedNations wants to end violence against women, but has #SaudiArabia leading the Human Rights Council.👌🏻… https://t.co/t9NfS5hVLu"
949,positive,@randyprine @deejay90192 Awww! What a sweetheart! You will always be our #PeoplesPresident #StillWithHer 👸🏼🇺🇸👸🏼🇺🇸👸🏼🇺🇸
950,neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
951,positive,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️
952,positive,I ❤️ flying @VirginAmerica. ☺️👍
953,positive,Christmas in December 🎅🏼🎄New Years in January 🎉Valentines in February 👫Birthday in March👸❣️
954,neutral,"@Lakota_Timez A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment @AnnBatiza"
955,positive,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ
956,negative,RT @bengeesaman: Trump answers every question with an insult that is completely off topic. 😂 #GOPDebate
957,negative,Really don't want my mom to go back home 😢 😢 😢 😢 😢 😢 😢  #gutted #crying #miserable #why
958,positive,@CoppermillPoets @VestryHouse @WMGallery @britishmuseum @WalthamForestRR @WalthamForestCo  THANK YOU  SO  MUCH   💖 X http://t.co/mnSbBiIN9i
959,positive,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜"
960,negative,@royrodel1 @theSNP but the conservatives and labour will keep it strong 😂😂😂😟 ?? they haven't done much of a job In my life time
961,positive,@voialex he'd beat all at the #GOPdebates today 100%! our Sergey 😊
962,positive,Thanksgiving #MannequinChallenge with my family 😂❤️ https://t.co/8noH9b2Gf7
963,neutral,@SouthwestAir Plz consider customers you're losing to #AA for 🚫 the KC ↔️ OKC directs. #okcdirects #OKC #MCI #flights #okcprofessionals
964,negative,"@JetBlue @amybruni No wifi on this flight so we can't tweet you our Oscar party pics at 37,000ft. #bluecarpet :-( SEA✈️BOS"
965,positive,When you and your girls get those #BlackFriday deals... 💁 #ScreamQueens https://t.co/esTobio1qg
966,neutral,@JetBlue I'm flying your airline just out of #LGA 😷
967,negative,#GOPdebates where the bell doesn't mean a thing #dingdingding 😂
968,negative,"@united, maybe don't play the video about how your flights are outfitted w wifi on the flights where wifi isn't working...✈️"
969,neutral,"https://t.co/aZyYoctH5R people come out to voice, hope gay marriage through! I hope the Taiwan government can hear it. We love equality🌈🌈😭😭💞"
970,negative,@united fuck you for not caring 😢
971,positive,Food that gets delivered 😍🙌🏻  
972,negative,"Good job, you have just stooped to the level of the two biggest jack asses in ""Entertainment""👏🏼  #GOPDebate  https://t.co/unbe3HIn5V"
973,positive,I'm just happy Grayson Allen's playing. 💙💙💙
974,neutral,@ricky_martin relaxes with his team on thevoiceau 😁✌🏻️ #RickyMartin #Ricky_Martin #РикиМартин… https://t.co/aDYllmyMYx
975,neutral,"@AmericanAir #epicfail on connections in #Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty 😐"
976,negative,Dude go out his way to irritate me🙄🙄 that's why I go out my way to not give up any pussy🙅🏾🅿️
977,positive,@PamHartshorne @britishmuseum  Sounds wonderful😊- enjoy
978,neutral,"When the person you're sitting next to in #FantasticBeasts says ""aw a didnae know it was set in New York"" 😳🔫"
979,positive,@TheRealLukevans @empiremagazine @EmmaWatson OMG 😍😍 All images and the Trailer of #BeautyAndTheBeast look AMAZING!!… https://t.co/g2FyqJDUTP
980,neutral,Valentines don't fase me 😭🙄but wya 2017 https://t.co/yHUkaMbpbV
981,positive,Great news 💕 we are totally against animal testing! https://t.co/JNqYPnnAfb
982,positive,RT @robyn_ravenclaw: Omg this is the best thing I've ever seen in my life 😂😂😂😂 #GOPDebate  https://t.co/sVFJCLmzlA
983,negative,"RT @FreedomJames7: Trump Supporters Are Rude 😡
#GOPDebates"
984,positive,@elizabethforma    Go get em girl!!!!   👊🏽 https://t.co/ryTKs8Bv3Z
985,positive,@USAirways the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. 😊
986,negative,RT @mattymonsterz: I AM SCREAMING 💀💀💀💀 #GOPDebate http://t.co/yrsGber2nG
987,positive,Grateful to be with my favorite people this week. Happy (belated) Thanksgiving! ❣️ @ Gulf of Mexico https://t.co/xVF9TlAU3n
988,negative,the gold standard was a terrible idea 💅
989,positive,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons
990,positive,"New Blog ""Finally made it to @kettlesyard this week 🌀 ✨ #kettlesyard..."" http://t.co/MOOXtIov6R , pebbles, interiors, kettlesyard"
991,negative,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open😐"
992,negative,"@SouthwestAir you are failing! Diverted, stuck and no communication! Make a decision and let us go!!!! 😞😡 flight #4229"
993,neutral,am probably the only one out of my friends that watched the #GOPDebate last night 🙈😂
994,negative,@united it's like you're trying to make me hate your airline. Fee for each checked bag that's never mentioned in the ticket + rude agents 👿
995,negative,"@jetblue well, we're on our way now, but more than half my tv channels are just static. 😔"
996,positive,@VirginAmerica Very nicely done. 👏
997,negative,@rachelmealey @YouTube perfect365 app does live makeup pics ☺ shiseido still animal testing 😐
998,positive,@britishmuseum Thanks so much for doing this. I absolutely love it. 🎨📹
999,neutral,"RT @NadaMoo: Everyone's talking about the #GOPDebate. Meanwhile, I'm debating between Banana, PB &amp; Chocolate or Cookies n Cream. 😰 http://t…"
1000,neutral,@JetBlue SHUT THE DOOR ON YOUR WAY OUT. 🙅
1001,positive,Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday
1002,neutral,Drew Bree's throwing a football🏈 and Justin Verlander throwing a baseball⚾️. Any similarities🤔??? @Throwing_Club https://t.co/pEayNdSxkC
1003,positive,@SouthwestAir thankyou :))❤️
1004,positive,Just watched #ScreamQueens now I'm in a pink mood 💘 @ScreamQueens @RobertsEmma https://t.co/x2OLNZ2M3X
1005,negative,@MafiaWorldMario Stg everybody say that 😂 then when we tell them they got huff they be mad as shit
1006,negative,Can't even believe just seeing you set my anxiety off 🖕
1007,negative,@USAirways was on the phone for over an hour waiting without an answer. 😩
1008,negative,"@united It was quite enjoyable. 😊 

Except now he's stuck on the runway in Houston. 😕"
1009,neutral,@meehan_francis @blake_walston @Mitch_Baddour air pope respects the play 👏🏼👏🏼👏🏼
1010,positive,@USAirways 1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not #unreal
1011,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/HovuAIsG16” WTF 😂😂😂😂
1012,positive,@verynetwork ohh yes please my faughyer would love one of these i cant get one anywhere 😔 #Win #blackfriday  #Hatchimals
1013,positive,Just died from laughter after seeing that😂😭😂😭
1014,negative,@childctweets sad people are that sick and boring 😬😬😬
1015,negative,I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit 😭
1016,neutral,HAHAHAHA Chanel #5 is running out of blood 😹 #ScreamQueens
1017,positive,@JajsaArthur @joanfox38064976 @WeNeedHillary @AskMjj You're the one who brought up Obama. I'm going to miss him. 💙💚💛💜 #ThankYouObama
1018,negative,Why are girls so bad at letting shit go? That's prolly why they're moody. They're all built up with grudges and anger and regret. 😂
1019,positive,Startup ebo uses GPU-accelerated deep learning to help with faster gift-giving 🎁 https://t.co/zy0JohOcIq https://t.co/v61pJgluMB
1020,negative,When @realDonaldTrump hears what iSaid about him during TV interview on #gopdebate he'll call me a dog...Ruff ruff😏 http://t.co/pyJ4HUhgjE
1021,neutral,👉🚪RT @JetBlue: Our fleet's on fleek. http://t.co/dSDEbodmEL
1022,positive,Lovin' the pink outfit of the Chanels 💗 #ScreamQueens
1023,neutral,Now to wait for persona 5 😩😩😩😩 https://t.co/q7Z6julbKs
1024,negative,@TillTheEndMMVI I accidetly dumped boiling water my myself 😫
1025,positive,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise 😂 That pizza segment! Plus I love her and Jazzy's friendship! 
1026,negative,😂😂😂😂 Drink!!! #Trump #GOPDebates  https://t.co/Az9GUGMCGU
1027,neutral,"@joey__pena @yulissa__pena 😂😂😂😂😂 he needs full name, number, address, and social security"
1028,negative,"you annoy me, your name annoys me, your EVERYTHING annoys me 🙃"
1029,neutral,@SouthwestAir IM NOT THO 😭😭💔💔💔💔💔💔💔
1030,negative,I don't know how people can binge watch horror films ...ALONE!😓😰
1031,positive,Ahhhhh this is amazing! I cannot wait👸🏽 #BeautyAndTheBeast 💙💛 https://t.co/W0HD7DiVfs
1032,positive,Scream Queens (S02E06) .Watch now. 😍 @ScreamQueens @RobertsEmma #ScreamQueens #chenel #bloodshed
1033,positive,#Repost @screamqueens with repostapp・・・Happy #Thanksgiving from the #ScreamQueens Family! 📷:… https://t.co/WtDwsclvtA
1034,negative,❤︎I... I can't! I'm scared! Bees terrify me.
1035,neutral,I needa be sleep😑
1036,positive,"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn"
1037,negative,What is this miserable ass weather all about 😭 dark and gloomy #depressing #weekoff #wheresthesun
1038,negative,@united I'm 0/3 for Flight Booking Problems without major problems. 0% isn't bad!👎👎
1039,negative,🔥 Leftist Smurf Defaces landmark with anti- #Trump lies. #DayAfterThanksgiving #AllLivesMatter #MAGA… https://t.co/R8iTuEo8NT
1040,negative,Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as 🐶😇
1041,neutral,Tim Duncan has said he will retire 😥 Here's what Kobe had to say about Duncan. https://t.co/nuY6BUOstC
1042,positive,".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\n❤️💛💚💙💜\n311,553"
1043,positive,“@united: @BattierCCIpuppy Your puppy is so cute. We look forward to having both of you on board. Thanks for the high five. ^EY” 👏👏
1044,neutral,@lisandra_1127 it's 🚮 because nobody is ever spontaneous about it anymore. & let's not forget Valentines.
1045,negative,Someone wake me when @Therealkiss make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much
1046,neutral,Pray for Aleppo! O God please help these people!  😔 https://t.co/VPxLG5mzCq
1047,negative,Still #devastated and #sad #Tariq's #TariqLive channel is no more and #ProfessorBlackTruth as well. #YouTubeFAIL #EpicFAIL! #TariqNasheed 😢
1048,positive,So thankful for all my bad hombres this Thanksgiving🦃 https://t.co/ov45kkGBSN
1049,positive,Legends only 💪#onedirection https://t.co/UjinShvjMB
1050,positive,"P.S. Y'all could have told me Yolanda Adams ATE ""Glory"" with Common on #ThankYouObama 🙌🏾"
1051,positive,And thus begins my 2 week holiday! 😏😏\n #holiday  #ghastinoir #rest
1052,negative,Angel got me nervous out here 😷
1053,positive,Kangen water restores the body to perfect health.⭕40 year track record⭕Gold standard of water… https://t.co/okJwcRiFa7
1054,positive,@thehill @AndieMarie888 Beautiful! Hillary Clinton you are the light of our eyes. We love you so much. Please come back. #StillWithHer 👸🏼🇺🇸
1055,negative,@USAirways strikes again. @emilylyonss  I strongly suggest you live tweet your ordeal. Their media team appreciates the updates 😎
1056,neutral,"💥 British PM @theresa_may in #Bahrain to attend GCC meeting, cement Gulf ties before Brexit. #UK"""
1057,positive,I'm Dying😂😂😂 #TheWalkingDead https://t.co/NnNR7Fn1gD
1058,positive,@JetBlue he loved the #natural #beefjerky snacks😉
1059,negative,"_Her mind is a #dark room,\nDeveloping #Madness  ♨😘"
1060,positive,With whom u can ralate to with this emoji 💪?? #3YearsofMidnightMemories #MPN #OneDirection AMÉM LIAM PAYNE
1061,negative,Girls who think that they will single handedly stop animal testing by complaining about it on a status🙄🙄🙄
1062,positive,Loving  #Pitch so far !! 🤗🤗🤗 @PITCHonFOX @Global_TV #chills 
1063,negative,"Watched the movie, friend request at 2am awhile ago in a dark cold night and it was one of the bad choices I've ever made. #nightmare 😰"
1064,positive,chirp chirp! what a beautiful white and red bird! 🐦
1065,negative,RT @grimmtales02: #GOPDebates if Jed bush wins presidency does that mean we get more of that hilarious show LIL BUSH? ✋👊
1066,positive,@sterlingkb1 Just caught up on #ThisIsUs. You were outstanding 👏🏼👏🏼👏🏼👏🏼 #Heartstrings😥
1067,neutral,Anyone else realised that getting a #Hatchimals is actually harder than copping #yeezyboost 😳
1068,positive,@verynetwork oh my😱 yes please #BlackFriday #Hatchimals
1069,neutral,I really can fucking not with ep. 4 #ScreamQueens 😂😂😂😥 this is nuts!!
1070,negative,Ugh. What's wrong with me today? Feel absolutely dreadful 😓 I wonder if I'm fighting something off...? Roll on home time.
1071,negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
1072,negative,"Has #Obama ever apologized for the terrorists, and racists whom he's embraced? #Hamas #BLM #CAIR #NOI #MuslimBrotherhood, to name a few!🤔🙄"
1073,positive,Will someone take me to see the mummies at the @britishmuseum please please please??? 🙏🏼
1074,neutral,@JetBlue Thanks. Which day of the week is the direct?  The flights I saw went thru JFK   ☀️
1075,negative,This shit hurting my heart 😪 that's how serious it is .
1076,negative,This pic is everything 😷😷#AuditTheVote #NotMyPresident #TrumpTransitionTeam #mittromney https://t.co/6xtMsbhACx
1077,neutral,RT @Nice1Parker: #GOPdebates where the bell doesn't mean a thing #dingdingding 😂
1078,positive,"@JetBlue she was a phone agent, pls do! Peggy was pleasant, informative and delivered. ⭐️⭐️⭐️⭐️⭐️"
1079,positive,@TheLastLeg Dennis Rodman. He was good enough for Kim Jong Un!!😂😱#fantasyambassador
1080,positive,Finally have all my braces on and I can't stop smiling 😊😊😊😊😊
1081,negative,@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷
1082,negative,Worst dreams. 😥
1083,negative,Migraine hangover has to be the worst thing ever 😣 #burst
1084,positive,working on the New Years & Valentines collection.😍 this is lit cant wait to reveal
1085,negative,"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄"
1086,positive,@SouthwestAir oh no worries. Just have never seen that before until today. I mean…it is a great card 😀
1087,negative,@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒
1088,positive,My @timehop literally cracks me up when I see posts from 2 years ago and later 😂 
1089,negative,Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 
1090,positive,@H0lliejburrows Congrats beautiful 😘
1091,negative,Should of stayed in Dubai 😞
1092,negative,Thought the Xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol
1093,positive,@SouthwestAir you guys are so clever 😃 http://t.co/qn5odUGFqK
1094,neutral,@AmericanAir  and I forgot about that lounge!😂
1095,negative,@SouthwestAir now I'm so lucky for my forced good deed I get to be smashed between 2 huge ppl in the exit row. Thank God I'm tiny. 😂💁
1096,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
1097,positive,"@Harry_Styles 💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127"
1098,negative,I feel like a burden every day that I waste but I don't know how to get out of this bc I get so discouraged all I wanna do is lay around 🙃
1099,positive,.@megynkelly slayed the #GOPDebate and asked thought provoking questions. 👏🏼 or else @realDonaldTrump wouldn't be tweeting about it.
1100,positive,@JetBlue offers hot tea and coffee...at the gate! You guys make me wonder why I have ever flown any other airlines! ☕✈👍
1101,neutral,@itshannah_marie Not at all... 🔪 #ScreamQueens
1102,negative,RT @LizHernandez: This is a complete 🎪 with plenty clowns. #GOPDebate
1103,negative,"Beware the wrath of an angry, frustrated, #agile grandma with a network. 👵🏼😡 I'm just sayin'. #objectlesson"
1104,negative,@USAirways 😂. Passed frustrated 4 hours ago after being asked to get off the first plane I sat on for an hour.
1105,negative,"RT @ThePatriot143: 😂 @AnnCoulter ""Jeb looks more like Caitlyn Jenner every day."" http://t.co/d41aAmLNBj #GOPDebate #GOPDebate2016 http://t.…"
1106,negative,Liam is too distant makes me mourn 😪
1107,positive,Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ 
1108,neutral,"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer"
1109,neutral,@justinamash @CNNPolitics don't forget drone strikes 😳
1110,negative,So. Many. Plot twists. 😩😭😭😭😭 #Westworld #WestworldFinale
1111,negative,"Steve Bannon - its okay for straights to call lgbt ""gay, fag**t, and qu**r""... anyone who comes to me saying that gon catch these hands 👊💥 👊"
1112,positive,@SouthwestAir iPhone app now has passbook support! Whoot! It's the little things in life... 😜
1113,neutral,@JetBlue I did get the email. Thought i wasn't supposed to reply to those😂
1114,negative,Bloody parking ticket 😒💸 
1115,positive,@SouthwestAir replacing @vitaminwater with beer! Bravo!👏👏 Cheers! 🍻🍻 @Leinenkugels @DosEquis @FatTire
1116,negative,Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 
1117,positive,We were v honoured to be a small part of a unique short film by artist @BedwyrWIlliams with other @CamUnivMuseums 🐋 https://t.co/SGPBa6gKpW
1118,neutral,WeatherTech® Cargo Liner - #Tesla Model S - Trunk Liner - 2012-2013 - Black  $147.95 - https://t.co/kgbH9mDycB | |… https://t.co/ihIiOFHhBS
1119,positive,Famliy hittin the #mannequinchallenge & #hitemwiththeshoulders all at once. Lit this Thanksgiving 🔥 https://t.co/fMUcpqGeUo
1120,neutral,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
1121,negative,Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML
1122,neutral,When your friends come back from college for thanksgiving break😬😂😂 @nolte_taylor @Tay_murphy77 @bethanymreid https://t.co/LsuuXJ2Jj1
1123,negative,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡
1124,negative,@laureeenwillam can't cope wi her sour face and tiny pout 😡😡
1125,negative,@AmericanAir it's been almost 3 days and it's still frozen. Thanks doll 😘😑
1126,negative,still shaking though 🙃
1127,negative,@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice 
1128,positive,"@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! ❤️✌️  #Strategy"
1129,positive,@pedos4Muhammad LOL muh popular vote. 😂😂😂
1130,neutral,#GilmoreGirlsTop4 #RIPEdwardHerrmann 😞4. Mr. Richard Gilmore 3. Kurk2. Sookie St James 1. Lane Kim@FallonTonight
1131,positive,Congrats Ashley Graham for being unapologetically YOU & inspiring so many young girls to ❤️ their bodies #vogue  https://t.co/wgJ6qzYbrN
1132,positive,@USAirways YOU ARE THE BEST AIRWAYS!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏
